$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py
  try_ttsize.py    compiled  15.3s   222 plies legal   34.5s total
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
    240 games  +75 =83 -82  elo -10 +/- 44  LLR -0.46  (5 min)
    280 games  +88 =96 -96  elo -10 +/- 41  LLR -0.52  (6 min)
    320 games  +102 =108 -110  elo -9 +/- 38  LLR -0.53  (6 min)
    360 games  +117 =121 -122  elo -5 +/- 36  LLR -0.37  (7 min)
    400 games  +127 =138 -135  elo -7 +/- 34  LLR -0.56  (7 min)
    440 games  +140 =151 -149  elo -7 +/- 33  LLR -0.62  (8 min)
    480 games  +151 =163 -166  elo -11 +/- 31  LLR -0.97  (9 min)
    520 games  +165 =173 -182  elo -11 +/- 30  LLR -1.08  (9 min)
    560 games  +181 =185 -194  elo -8 +/- 29  LLR -0.86  (10 min)
    600 games  +197 =198 -205  elo -5 +/- 28  LLR -0.59  (11 min)
    640 games  +215 =208 -217  elo -1 +/- 27  LLR -0.26  (11 min)
    680 games  +231 =218 -231  elo -0 +/- 26  LLR -0.16  (12 min)
    720 games  +248 =232 -240  elo +4 +/- 25  LLR +0.27  (13 min)
    760 games  +257 =247 -256  elo +0 +/- 25  LLR -0.13  (13 min)
    800 games  +275 =254 -271  elo +2 +/- 24  LLR +0.03  (14 min)
    840 games  +285 =264 -291  elo -2 +/- 24  LLR -0.53  (15 min)
    880 games  +300 =270 -310  elo -4 +/- 23  LLR -0.74  (15 min)
    920 games  +314 =284 -322  elo -3 +/- 22  LLR -0.65  (16 min)
    960 games  +329 =295 -336  elo -3 +/- 22  LLR -0.60  (16 min)
   1000 games  +347 =302 -351  elo -1 +/- 22  LLR -0.45  (17 min)
   1040 games  +366 =312 -362  elo +1 +/- 21  LLR -0.03  (18 min)
   1080 games  +382 =321 -377  elo +2 +/- 21  LLR +0.02  (18 min)
   1120 games  +398 =333 -389  elo +3 +/- 20  LLR +0.22  (19 min)
   1160 games  +415 =345 -400  elo +4 +/- 20  LLR +0.53  (20 min)
   1200 games  +438 =358 -404  elo +10 +/- 20  LLR +1.54  (20 min)
   1240 games  +453 =369 -418  elo +10 +/- 19  LLR +1.58  (21 min)
   1280 games  +464 =378 -438  elo +7 +/- 19  LLR +1.09  (22 min)
   1320 games  +478 =391 -451  elo +7 +/- 19  LLR +1.13  (22 min)
   1360 games  +497 =399 -464  elo +8 +/- 18  LLR +1.44  (23 min)
   1400 games  +511 =409 -480  elo +8 +/- 18  LLR +1.32  (23 min)
   1440 games  +527 =422 -491  elo +9 +/- 18  LLR +1.58  (24 min)
   1480 games  +547 =432 -501  elo +11 +/- 18  LLR +2.10  (25 min)
   1520 games  +561 =442 -517  elo +10 +/- 17  LLR +1.98  (25 min)
   1560 games  +579 =454 -527  elo +12 +/- 17  LLR +2.39  (26 min)
   1600 games  +604 =459 -537  elo +15 +/- 17  LLR +3.16  (27 min)
SPRT: candidate is better - accept
RESULT accept 604 459 537 14.6 17.1 3.160
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_futility5.py
  try_futility5.py compiled  14.7s   215 plies legal   33.7s total
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_futility5.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
     40 games  +8 =17 -15  elo -61 +/- 114  LLR -0.49  (2 min)
     80 games  +26 =28 -26  elo -0 +/- 77  LLR -0.02  (2 min)
    120 games  +36 =40 -44  elo -23 +/- 63  LLR -0.48  (3 min)
    160 games  +53 =50 -57  elo -9 +/- 54  LLR -0.26  (4 min)
    200 games  +65 =69 -66  elo -2 +/- 48  LLR -0.11  (4 min)
    240 games  +76 =82 -82  elo -9 +/- 44  LLR -0.40  (5 min)
    280 games  +91 =93 -96  elo -6 +/- 41  LLR -0.35  (6 min)
    320 games  +105 =104 -111  elo -7 +/- 38  LLR -0.41  (6 min)
    360 games  +121 =111 -128  elo -7 +/- 36  LLR -0.46  (7 min)
    400 games  +129 =130 -141  elo -10 +/- 34  LLR -0.76  (7 min)
    440 games  +145 =140 -155  elo -8 +/- 33  LLR -0.65  (8 min)
    480 games  +162 =151 -167  elo -4 +/- 31  LLR -0.39  (9 min)
    520 games  +179 =162 -179  elo -0 +/- 30  LLR -0.12  (9 min)
    560 games  +191 =177 -192  elo -1 +/- 29  LLR -0.19  (10 min)
    600 games  +205 =194 -201  elo +2 +/- 28  LLR +0.08  (11 min)
    640 games  +216 =209 -215  elo +1 +/- 27  LLR -0.10  (11 min)
    680 games  +232 =218 -230  elo +1 +/- 26  LLR -0.05  (12 min)
